id,restaurant_id,restaurant_name,zip_code,avg_sentiment_polarity,avg_sentiment_subjectivity,zip_code_income,restaurant_rating,price
3863,6i7KnRylm4bhPIApDFSVCg,Dave's Hot Chicken,90028,0.3131481481481481,0.3131481481481481,21893.0,4.5,$
3864,uzAbw27XQTXTivjgf2bN2w,Han Bat Sul Lung Tang,90005,0.26717171717171717,0.26717171717171717,21998.0,4.5,$
3865,sYn3SNQP-j2t2XSwjlCbRg,Monty's Good Burger,90005,0.30111111111111105,0.30111111111111105,21998.0,4.5,$
3866,gaFetUaJ4w8NCbFFyYKGMA,Cook's Tortas,90022,0.37999999999999995,0.37999999999999995,27471.0,4.0,$
3867,6065vasIMEdNG72QYgxkKw,Churros Don Abel,90022,0.225,0.225,27471.0,5.0,$
3868,Racu1-aMkpwcPDlMoKX3Lg,Tacos Baja,90022,0.16111111111111115,0.16111111111111115,27471.0,4.5,$
3869,AQokg8CmdKnHF2TwN-WeSQ,Kaiba Japanese Restaurant,90022,-0.0763888888888889,-0.0763888888888889,27471.0,4.5,$
3870,WGs6gf1ULVPkr-0AsRVsRA,La Azteca Tortilleria,90023,0.43333333333333335,0.43333333333333335,26884.0,4.5,$
3871,Ky33kAkXMsxbXNlfwEgVUA,Kermés Taco Grill,90022,0.39444444444444454,0.39444444444444454,27471.0,5.0,$
3872,VURVld6HndBhhbYbFm5noQ,Bacon & Butter,95817,0.09236111111111112,0.09236111111111112,26331.0,4.5,$
3873,e0qy36QgddfI6MvMaaZGwg,Duc Huong Sandwiches,95824,0.0375,0.0375,27429.0,4.5,$
3874,nJO67202TJCZJCn__VG5BA,Gunther's Quality Ice Cream,95815,0.391170634920635,0.391170634920635,25970.0,4.5,$
3875,vZE-nRz2AC-fshDJ3XH7wg,Quan Nem Ninh Hoa,95824,0.2523809523809524,0.2523809523809524,27429.0,4.0,$
3876,ozB_gP4NKVvK9zCTG169Gg,Yang's Noodles,95824,0.3620370370370371,0.3620370370370371,27429.0,4.0,$
3877,4DzUMFk5NlJqOt3TZ9yu0w,Pho City,95824,0.09666666666666666,0.09666666666666666,27429.0,4.0,$
3878,MYjjHfQDtnxXWaW0-qWHVg,Los Dos Toritos,92309,0.22777777777777777,0.22777777777777777,27422.0,4.5,$
3879,iVVBjJ1shUmLekah4CQFNA,The Mad Greek Cafe,92309,-0.00908730158730158,-0.00908730158730158,27422.0,3.0,$
3880,LsME9cCqseAU62TMDO7DOQ,Del Taco,92309,0.43333333333333335,0.43333333333333335,27422.0,3.5,$
3881,QwpCWNC8PeOGvQS8dPg3LQ,Denny's,92309,0.28814814814814815,0.28814814814814815,27422.0,2.5,$
3882,Yaxx9Fbmp2jilDVVipkDNA,Taco Bell,92309,-0.5833333333333334,-0.5833333333333334,27422.0,3.0,$
3883,tMXnRn3_ZB4UD3CKkFyjkQ,Jack in the Box,92309,0.5422222222222223,0.5422222222222223,27422.0,3.0,$
3884,JV4V1_ShqEmFOj-rbkKebA,Erma Jeans,95961,0.24243827160493828,0.24243827160493828,27420.0,4.5,$
3885,Et4Zs2wSu3zUVndRzDGtJQ,Duke's Diner,95961,0.3277777777777778,0.3277777777777778,27420.0,4.5,$
3886,uVn3AfIv5iGij7cc-mYsqw,Tortilleria Flores,95961,0.28491236772486767,0.28491236772486767,27420.0,4.5,$
3887,0jPHlWtmNHWp-o0_jHmuaw,Taqueria Cinco De Mayo,95961,0.4446825396825396,0.4446825396825396,27420.0,4.5,$
3888,WXIRJkibD5c0i_FDoMSRAA,Phooj Ywg Lee's Market,95961,0.15208333333333332,0.15208333333333332,27420.0,4.5,$
3889,fMGEdIzXBdDmfrcRvQikOg,Boiling Seafood,95961,0.33196296296296296,0.33196296296296296,27420.0,4.5,$
3890,rbjqSIpqd4VU8ql2fF5I2A,Captain Jack's Stronghold Restaurant,96134,0.5177083333333333,0.5177083333333333,27383.0,4.5,$
